qpp_metric,qpp_type,retrieval_method,nugget_strict_vital_score_pearson_mean,nugget_strict_vital_score_pearson_n,nugget_strict_vital_score_kendall_mean,nugget_strict_vital_score_kendall_n,nugget_strict_all_score_pearson_mean,nugget_strict_all_score_pearson_n,nugget_strict_all_score_kendall_mean,nugget_strict_all_score_kendall_n,nugget_vital_score_pearson_mean,nugget_vital_score_pearson_n,nugget_vital_score_kendall_mean,nugget_vital_score_kendall_n,nugget_all_score_pearson_mean,nugget_all_score_pearson_n,nugget_all_score_kendall_mean,nugget_all_score_kendall_n,retrieval_ndcg@10_pearson_mean,retrieval_ndcg@10_pearson_n,retrieval_ndcg@10_kendall_mean,retrieval_ndcg@10_kendall_n,retrieval_recall@100_pearson_mean,retrieval_recall@100_pearson_n,retrieval_recall@100_kendall_mean,retrieval_recall@100_kendall_n
ql,pre_cohere,cohere,0.09228658873897376,56,0.07091034197375916,56,0.06325002398348471,56,0.05387694446808174,56,0.11570242049392743,56,0.08837161368816278,56,0.09189921540195933,56,0.07063208827615505,56,-0.045478493441637076,56,-0.026819098667188117,56,-0.09092382488725223,56,-0.0776475639260921,56
rv_bert,pre_cohere,cohere,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
rv_e5,pre_cohere,cohere,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
sigma-max,post_cohere,cohere,-0.03609504786670218,56,-0.004812295035619462,56,-0.05297328398202446,56,-0.020619595270708446,56,-0.05115006627022994,56,-0.023017625214269453,56,-0.06280339055018114,56,-0.028228528158898276,56,0.2902346044229381,56,0.20711717065632576,56,0.3722236298053752,56,0.28927414621595476,56
sigma-x0.5,post_cohere,cohere,-0.06687128118962439,56,-0.07054069749867484,56,-0.05273860781156251,56,-0.05245584260494288,56,-0.08281225379286038,56,-0.08814064381977603,56,-0.06894468281237329,56,-0.07214989720089889,56,0.07677676676554522,56,0.08059232279761988,56,0.16896380797755423,56,0.1464432337291517,56
smv-no-norm-k100,post_cohere,cohere,-0.0015876478547003081,56,0.0142649821347083,56,-0.0060941781287198364,56,0.006243668818784094,56,-0.01784473110202784,56,-0.003865691654224334,56,-0.023477240453941173,56,-0.009265787167054704,56,0.3196077072259787,56,0.21755533503103072,56,0.4173235507239196,56,0.306382486228549,56
smv-norm-k100,post_cohere,cohere,0.004703272707711604,56,0.006291818055913564,56,0.004648312432281453,56,0.0015568901982300526,56,-0.019859982413188447,56,-0.015557800291485398,56,-0.012201673331903655,56,-0.013593126007689468,56,0.2897330707074349,56,0.1992289208477153,56,0.37973448558126766,56,0.2746085250757978,56
wig-no-norm-k100,post_cohere,cohere,-0.06339076117293872,56,-0.071411435591859,56,-0.04962550842212661,56,-0.055650865971182524,56,-0.08254905874477221,56,-0.08940208896683899,56,-0.06752728387145937,56,-0.07559540520463903,56,0.03342916589518489,56,0.03039751215160451,56,0.11896137811123805,56,0.09068097372037645,56
wig-no-norm-k1000,post_cohere,cohere,-0.06339076117293872,56,-0.071411435591859,56,-0.04962550842212661,56,-0.055650865971182524,56,-0.08254905874477221,56,-0.08940208896683899,56,-0.06752728387145937,56,-0.07559540520463903,56,0.03342916589518489,56,0.03039751215160451,56,0.11896137811123805,56,0.09068097372037645,56
wig-norm-k100,post_cohere,cohere,-0.05439076614868528,56,-0.058407382379169974,56,-0.03995549208150088,56,-0.04296718360582349,56,-0.0721235492488255,56,-0.07317042270302292,56,-0.05721160543209012,56,-0.059107661602314635,56,0.0190999822229132,56,0.021807231223395254,56,0.10599489498567946,56,0.07674359978562374,56
wig-norm-k1000,post_cohere,cohere,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
