qpp_metric,retrieval_method,nugget_strict_vital_score_mean,nugget_all_score_mean,genonly_strict_vital_score_mean,genonly_all_score_mean,retrieval_ndcg@5_mean,retrieval_recall@100_mean
pre_rv_e5,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
sigma-max,cohere,0.3147553835053835,0.3844034445455277,0.3314478428317713,0.3714628814812638,0.5734902511449873,0.3818247089946445
sigma-x0.5,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
smv-no-norm-k100,cohere,0.3281123638266495,0.3874662153997901,0.3352041559630845,0.3785488634556386,0.6010883102414492,0.3864955685230923
smv-norm-k100,cohere,0.3173620030762887,0.3768176377869268,0.3348704618793904,0.3831793520146986,0.5926234664727001,0.3873084409038422
wig-no-norm-k100,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
wig-no-norm-k1000,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
wig-norm-k100,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
wig-norm-k1000,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
original,cohere,0.3276982689929118,0.3772668018946629,0.3194305198769484,0.3636988061081382,0.5568864293335423,0.3746588949840263
max_oracle_nugget_all,cohere,0.4846649134595563,0.5331803002071274,0.3388476107226107,0.3838204654484785,0.5679662544410045,0.3557789576678506
max_oracle_ndcg@5,cohere,0.3544820754642183,0.3916915891847476,0.3272078615828616,0.3674285570411455,0.7232538355799589,0.3735396694564548
max_oracle_ndcg@10,cohere,0.3580370770102913,0.3901568889962438,0.3407674171067028,0.3699295144846062,0.6912000750480308,0.3875010585634096
max_oracle_recall@100,cohere,0.332133318070818,0.37768214749708,0.3154137529137529,0.3847819991924509,0.6081376165836483,0.4438721990321851
max_oracle_strict_all_score,cohere,0.5129228162710305,0.51235612336273,0.3191754921665635,0.376029140147962,0.5645502460642903,0.3515685151204251
max_oracle_strict_vital_score,cohere,0.5689821339374911,0.4858783358531119,0.3198220678131392,0.3713367975855536,0.5714748322655206,0.3442631311188726
max_oracle_vital_score,cohere,0.5463358318269033,0.5050350182015512,0.3310266618302332,0.3803053013700266,0.568651074110417,0.3604122211264491
max_oracle_genonly_nugget_all_score,cohere,0.3682520356627499,0.3990628710308194,0.4614681449502878,0.5256179474611584,0.5346909263084613,0.350124206969948
max_oracle_genonly_nugget_strict_all_score,cohere,0.3453718156843156,0.4007967777345265,0.4789599041831184,0.504348460645453,0.5310552156455951,0.3536970486913727
max_oracle_genonly_nugget_strict_vital_score,cohere,0.332581282804497,0.3816667320298871,0.5130443713032998,0.465223417992519,0.5314504962859227,0.348886375213928
max_oracle_genonly_nugget_vital_score,cohere,0.3502821583178725,0.4022778806191842,0.5013054901447759,0.4847019012104289,0.550449878747051,0.3565088168345022
avg_genqr,cohere,0.3753295414902558,0.4013338662894307,0.3242483409447695,0.3784385021797947,0.5465845170614253,0.3354343667692793
avg_genqr_ensemble,cohere,0.3659817612942612,0.3985814881636006,0.3364616881134737,0.3913340364056308,0.5104383220486849,0.3269143151854953
avg_mugi,cohere,0.3637124532213818,0.3838293904008051,0.3351105343069628,0.3643758092275065,0.5428490075034593,0.3635575498728843
avg_qa_expand,cohere,0.3235226826744684,0.3702054203091493,0.295451091567163,0.3460670026966743,0.5373067624371133,0.3559056478487642
avg_query2doc,cohere,0.3278576136165422,0.3608796287423693,0.2938641715427429,0.3385829422095178,0.5629265321810412,0.3713854026811875
avg_query2e,cohere,0.3544463126159555,0.3919043604360527,0.3110040951112379,0.3618415115171943,0.5307220769079236,0.3422444133872339
