query_id,clarity-score-k10,clarity-score-k100,wig-norm-k100,wig-no-norm-k100,wig-norm-k1000,wig-no-norm-k1000,nqc-norm-k100,nqc-no-norm-k100,smv-norm-k100,smv-no-norm-k100,sigma-x0.5,sigma-max,RSD
2024-105741,5.98130119907793,6.204693178487483,0.114020442081788,0.0635528070966617,0.0,0.0635528070966617,0.0245223113838385,0.0153490679184893,0.019155807089224,0.0119900518121532,0.0015584617249413,0.0153490679184893,0.0119900518121532
2024-121840,5.563692957537157,5.033916537183774,0.09972534430274534,0.0556325103989338,0.0,0.0556325103989338,0.0286766317686521,0.0160330993732933,0.0218293406798071,0.0122047802265054,0.0015953530150759,0.0160330993732933,0.0122047802265054
2024-127266,6.501100886036471,6.346239154273771,0.11911032359274312,0.0594018474848795,0.0,0.0594018474848795,0.025596337748551,0.0165165291498274,0.0201472623591758,0.0130004084691133,0.0015204697511108,0.0165165291498274,0.0130004084691133
2024-129925,8.755476575994411,7.664293624609032,0.10324103476358935,0.0565343818276996,0.0,0.0565343818276996,0.0625902431992641,0.0384379564558731,0.0524849346452734,0.0322320785056174,0.0035385007077157,0.0384379564558731,0.0322320785056174
2024-141577,6.703536304071642,6.637823360672765,0.11702669271331213,0.0552758003290011,0.0,0.0552758003290011,0.0270777058581204,0.0140406832393975,0.0209806865231225,0.0108791776954736,0.0014967418623808,0.0140406832393975,0.0108791776954736
2024-142395,5.690782423304738,5.720940602422751,0.10039723830507286,0.0493827813425723,0.0,0.0493827813425723,0.0378536142957864,0.0208995967095444,0.0298161463597312,0.0164619798120703,0.0018693167577948,0.0208995967095444,0.0164619798120703
2024-143869,7.056125414697017,6.608909634906602,0.10948624996618193,0.0550281923801256,0.0,0.0550281923801256,0.0169261398395692,0.0109812194754316,0.0138621311021452,0.0089933738863485,0.0009314148793447,0.0109812194754316,0.0089933738863485
2024-145979,7.174853380217912,7.156119350512712,0.09983532435356109,0.0508586632183797,0.0,0.0508586632183797,0.0389445060991446,0.024738504414576,0.0318939433001751,0.0202598141858821,0.0019806655199025,0.024738504414576,0.0202598141858821
2024-152259,8.283382690121504,8.224006543969482,0.11420721395508653,0.0554850611764779,0.0,0.0554850611764779,0.0313157680400474,0.0185520353181099,0.0257202116318996,0.0152371250794186,0.0017375573054904,0.0185520353181099,0.0152371250794186
2024-152817,5.446155341727384,5.838674265397979,0.09457686101127134,0.0519609202394296,0.0,0.0519609202394296,0.0222408697701395,0.0143878019190702,0.0186322461173847,0.0120533535430442,0.0011556560601817,0.0143878019190702,0.0120533535430442
