query_id,clarity-score-k10,clarity-score-k100,wig-norm-k100,wig-no-norm-k100,wig-norm-k1000,wig-no-norm-k1000,nqc-norm-k100,nqc-no-norm-k100,smv-norm-k100,smv-no-norm-k100,sigma-x0.5,sigma-max,RSD
2024-105741,6.197627083003509,6.348870300372241,0.05487251449163348,0.0325484390610714,0.0,0.0325484390610714,0.0227672177060585,0.0150048636916301,0.0181420746000065,0.0119566369492765,0.0007410373980957,0.0150048636916301,0.0119566369492765
2024-121840,5.130913779713364,5.035670976045133,0.04921813038723698,0.0257770755759442,0.0,0.0257770755759442,0.028344926721865,0.0161074620968171,0.0216744871449083,0.0123168771463166,0.0007306493183041,0.0178917344952914,0.0123168771463166
2024-127266,6.680902539722998,6.5090669548667375,0.0520256574155648,0.0289654923884871,0.0,0.0289654923884871,0.0244338017315748,0.0163393797127553,0.019226783595538,0.0128573408785789,0.0007077370980777,0.0163393797127553,0.0128573408785789
2024-129925,8.780844022870067,7.679504707145468,0.05130023417562151,0.0268644092929842,0.0,0.0268644092929842,0.069352335484053,0.0430132235151877,0.0581973871379919,0.0360947789788847,0.0018631095258679,0.0430132235151877,0.0360947789788847
2024-141577,6.240469212434872,6.195788340605705,0.04769981788440723,0.0233269304489096,0.0,0.0233269304489096,0.023756457385889,0.012039550480292,0.0185875727780512,0.0094200080901108,0.0005541652291531,0.012039550480292,0.0094200080901108
2024-142395,5.632996488981669,5.574803901006508,0.04681981628823658,0.0218740158647654,0.0,0.0218740158647654,0.0362872440300954,0.0190002720398709,0.0282986274062933,0.0148173727006819,0.0007937477516029,0.0190002720398709,0.0148173727006819
2024-143869,6.3828547613553495,6.731004052983564,0.04379684968043089,0.0240261096153846,0.0,0.0240261096153846,0.0159009188141563,0.0099329676787705,0.0119089072161098,0.0074392424645162,0.0003820372184142,0.0117174181740973,0.0074392424645162
2024-145979,7.417593356085818,7.241002931374613,0.04924338179616913,0.0251622453846153,0.0,0.0251622453846153,0.0415267383570958,0.0271675554946631,0.0339944296677641,0.0222397807062685,0.0010449059805639,0.0271675554946631,0.0222397807062685
2024-152259,8.238656323756999,8.128509426378653,0.0560023324650428,0.0238234698247154,0.0,0.0238234698247154,0.0321038372062243,0.0184669952487782,0.0263470722218161,0.0151555483668215,0.00076482479694,0.0184669952487782,0.0151555483668215
2024-152817,5.871257576374695,5.7862016453833895,0.04396177367263719,0.0231066515478508,0.0,0.0231066515478508,0.0225925752641643,0.0147654860082558,0.0188570997987385,0.0123241480875445,0.0005220387641976,0.0147654860082558,0.0123241480875445
2024-153051,7.480308390355912,7.044306685908681,0.03803974738721245,0.0248131502466724,0.0,0.0248131502466724,0.0497968253422159,0.0278219484332352,0.0360348468905961,0.0201330033611552,0.0012356161090237,0.0310655650050072,0.0201330033611552
2024-158261,8.08838008818974,6.548667629580463,0.04536631021357045,0.0237618037717732,0.0,0.0237618037717732,0.0287113325580419,0.0171374986771699,0.021096401795563,0.012592224938833,0.0006822330502703,0.0182823612025058,0.012592224938833
2024-158677,6.090154031711644,6.061188432317221,0.04590320173773314,0.0230422107083736,0.0,0.0230422107083736,0.050641473016597,0.027116107888152,0.03902922378417,0.0208982989609234,0.0011668914918308,0.027116107888152,0.0208982989609234
2024-158743,8.090026036806508,7.5359205573836245,0.04973967256986259,0.0239295571302192,0.0,0.0239295571302192,0.0276471951533601,0.0153025085280943,0.0222604297152217,0.0123209755516492,0.0006615851359126,0.0153025085280943,0.0123209755516492
2024-18963,7.549139482435054,6.62812485394733,0.04726334840481386,0.0245070480998589,0.0,0.0245070480998589,0.0405696848537887,0.0213009503480455,0.0323659996477612,0.0169936383273984,0.0009942432181079,0.0213009503480455,0.0169936383273984
2024-19025,6.556862497218887,6.907968106772403,0.05672117620156176,0.0277280643575486,0.0,0.0277280643575486,0.0223110582542833,0.0133975733951003,0.0184702795337377,0.0110912231441896,0.0006186424591597,0.0133975733951003,0.0110912231441896
2024-213469,6.570079183310158,6.771715030217689,0.05439369873981587,0.0247726482701014,0.0,0.0247726482701014,0.0235156915926626,0.0129214943978473,0.0179079977231272,0.009840156788255,0.0005825459566532,0.0129214943978473,0.009840156788255
2024-213789,6.8632220952247245,6.076437135562863,0.051368234144971915,0.0285760613262472,0.0,0.0285760613262472,0.0332032518103912,0.0208955524413474,0.0262326200842704,0.0165087772660046,0.0009488181599645,0.0208955524413474,0.0165087772660046
2024-213817,5.714181376300325,5.644910369600303,0.04083231653845323,0.0246102648573595,0.0,0.0246102648573595,0.0272447823753749,0.0160780566003357,0.0199617731511295,0.0117801094589402,0.000670501310239,0.016460737039242,0.0117801094589402
2024-213978,7.067599065051833,6.569065863302175,0.04645080907289446,0.022336939652897,0.0,0.022336939652897,0.0343245747958266,0.0174499311104055,0.0268555094758598,0.0136528068614436,0.0007667059558257,0.0174499311104055,0.0136528068614436
2024-214096,6.858325011396045,6.188841690645327,0.05894106666958,0.029087264046659,0.0,0.029087264046659,0.0318819873885799,0.0196065878923666,0.0249064677175133,0.0153168258440105,0.0009273597855038,0.0196065878923666,0.0153168258440105
2024-214257,6.673684409656661,6.332035318209252,0.05107434173215962,0.0254241516602278,0.0,0.0254241516602278,0.0380223934867848,0.0212890749916571,0.0312641234347375,0.0175050597112431,0.0009666870984928,0.0212890749916571,0.0175050597112431
2024-214467,6.72776232737833,6.596162219648421,0.06225118456586911,0.0244748749934802,0.0,0.0244748749934802,0.0418853304512773,0.0213809529046275,0.0356646818996731,0.0182055358245879,0.0010251382268556,0.0213809529046275,0.0182055358245879
2024-215044,6.201116585891506,5.660316824974058,0.04525852862791103,0.0230682783282837,0.0,0.0230682783282837,0.0345841596231419,0.0186247589604697,0.0267662144373214,0.0144145266969499,0.0007977970199364,0.0186247589604697,0.0144145266969499
2024-215952,8.094810234871789,7.643743944952755,0.048207186652108484,0.025367048095207,0.0,0.025367048095207,0.0282985210934557,0.0165572988624473,0.0228778341252449,0.0133856866825728,0.0007178499456009,0.0165572988624473,0.0133856866825728
2024-216592,5.743928773566987,5.730747922707231,0.05144073143505045,0.02929496597821,0.0,0.02929496597821,0.0306280874213336,0.0198005546858541,0.0237116815084511,0.0153292120380528,0.0008972487789856,0.0198005546858541,0.0153292120380528
2024-217279,6.224661016456369,6.1811179221563295,0.04309506788967541,0.0241801052539923,0.0,0.0241801052539923,0.0275064406376308,0.0160041224179147,0.0223852929246146,0.0130244757235616,0.0006651086297806,0.0160041224179147,0.0130244757235616
2024-217812,9.48831738489442,8.05509094229579,0.04391804738333325,0.0257863608991954,0.0,0.0257863608991954,0.0681354628389624,0.0400649807908352,0.0599018013050429,0.0352234272524906,0.0017569656347992,0.0400649807908352,0.0352234272524906
2024-219563,5.690782832112889,5.121062185395017,0.05212967014520287,0.0229526846100157,0.0,0.0229526846100157,0.0347190006747365,0.0182243291183955,0.0291417602254555,0.0152967832920525,0.0007968942724621,0.0182243291183955,0.0152967832920525
2024-219624,6.089623992863209,6.165007633830224,0.04522020422615635,0.0248574061187215,0.0,0.0248574061187215,0.038479774572945,0.0214522238210843,0.0295555012789898,0.0164769995567235,0.0009565073839165,0.0214522238210843,0.0164769995567235
2024-224279,5.756834280598973,5.531447811072375,0.05357507455809907,0.027045214550997,0.0,0.027045214550997,0.0185625201498496,0.0107672868949006,0.0138456813108292,0.0080312598572597,0.0005020273400598,0.0107672868949006,0.0080312598572597
2024-224701,8.301294963762507,7.865771597429374,0.05469949611917666,0.0265630998191298,0.0,0.0265630998191298,0.0585356393621269,0.0344189137992703,0.0470976674187603,0.0276933945319105,0.0015548880313527,0.0344189137992703,0.0276933945319105
2024-224926,8.098108433249525,7.6792273725830045,0.047330796499850655,0.0256761200717731,0.0,0.0256761200717731,0.0307522805842325,0.0186686378257091,0.0232704701852792,0.014126691473597,0.0007895992487616,0.0187467561527321,0.014126691473597
2024-22886,6.049757757963369,5.912600388292119,0.06263708664494479,0.0281307427548457,0.0,0.0281307427548457,0.0363538637428346,0.0231853327892333,0.031257620018519,0.0199351113668518,0.0010226611890943,0.0231853327892333,0.0199351113668518
2024-27366,6.3084886450367135,5.718528840671172,0.05782927617319929,0.0279261152218136,0.0,0.0279261152218136,0.0274477577680293,0.0154447333493686,0.0221236777289533,0.0124488967776103,0.0007665092460104,0.0154447333493686,0.0124488967776103
