query_id,clarity-score-k10,clarity-score-k100,wig-norm-k100,wig-no-norm-k100,wig-norm-k1000,wig-no-norm-k1000,nqc-norm-k100,nqc-no-norm-k100,smv-norm-k100,smv-no-norm-k100,sigma-x0.5,sigma-max,RSD
2024-105741,8.82679139264901,7.274194819021846,0.060549425479232755,44.07830739150081,0.0,44.07830739150081,0.0434310061056155,40.11040614562647,0.036101083961043,33.34090710340623,1.914365237445472,40.11040614562647,33.34090710340623
2024-121840,8.510144711211652,6.802412557193707,0.051228445707758544,36.78929164842664,0.0,36.78929164842664,0.0311796667381866,24.602079109843807,0.0236390544786478,18.652216306511576,1.1470778531318964,24.602079109843807,18.652216306511576
2024-127266,7.862344319762049,7.089035791252747,0.04457561337985405,62.28956444465007,0.0,62.28956444465007,0.0293866745718097,48.70598902566981,0.0231090693942497,38.301376277174775,1.830483159554704,48.70598902566981,38.301376277174775
2024-129925,8.243724419552713,7.9283973843191555,0.06203733772116762,58.18197745736215,0.0,58.18197745736215,0.0538116100872381,66.56312175618451,0.0435610927471324,53.8835822912401,3.1308658850400506,66.56312175618451,53.8835822912401
2024-141577,7.327381320799236,6.811651781001548,0.05215326249735457,30.348253843686106,0.0,30.348253843686106,0.040190179976575,28.106121514424192,0.0318037901780364,22.241283614160054,1.2197017839525297,28.106121514424192,22.241283614160054
2024-142395,9.121015554748071,7.996810218947895,0.0443465793575795,34.30155537368221,0.0,34.30155537368221,0.0444121384688897,37.87125837138166,0.0315746832078336,26.92446315315396,1.5234054269542625,41.25585525756677,26.92446315315396
2024-143869,7.601866380577369,6.856788670680135,0.04803036295186573,39.49630469824137,0.0,39.49630469824137,0.0573136518351491,54.84456502173623,0.0490562803019348,46.94292317095008,2.2636774562499693,54.84456502173623,46.94292317095008
2024-145979,6.67912010606414,6.869129169917466,0.05997704673704778,46.85354117265172,0.0,46.85354117265172,0.0490817709358001,56.93677729409808,0.0424916572090251,49.29198717242623,2.299654775367173,56.93677729409808,49.29198717242623
2024-152259,10.64150898102649,8.95533440047497,0.06011421654524183,47.83327753746477,0.0,47.83327753746477,0.0840665727894671,98.33408347702814,0.0710982415584105,83.1648084189608,4.021179707862064,98.33408347702814,83.1648084189608
2024-152817,6.392922307618244,6.534330051938355,0.04650126595203073,58.77947696994475,0.0,58.77947696994475,0.0286481648683052,44.58425701726967,0.0230497586498796,35.871629773019386,1.6839241471077302,44.58425701726967,35.871629773019386
2024-153051,7.743652600432025,6.980835381347612,0.05704803186487895,40.60099626156676,0.0,40.60099626156676,0.0660178256670978,53.54073819128532,0.0541198515250892,43.89143041559088,2.680389493106606,53.54073819128532,43.89143041559088
2024-158261,9.024435562557686,8.356359519355115,0.04988784379356571,47.5380455220298,0.0,47.5380455220298,0.0349653382127493,39.78839003936142,0.0279122715500135,31.762436861301737,1.6621838396508464,39.78839003936142,31.762436861301737
2024-158677,7.099552726602161,6.673207217822394,0.03478557994749792,44.08366756013924,0.0,44.08366756013924,0.0412003560698733,45.2610357559952,0.027430903808435,30.134475439659912,1.8162628003436616,81.64467189390002,30.134475439659912
2024-158743,10.320862295719476,7.481878409324368,0.0542620843329385,39.26960383123115,0.0,39.26960383123115,0.0724292140313376,61.33336165722543,0.0599587539874521,50.773323886103405,2.8442665408180767,61.33336165722543,50.773323886103405
2024-18963,8.391794323544229,7.435551183843113,0.03838117515030983,58.63039542443305,0.0,58.63039542443305,0.0408442580567187,57.77172389566361,0.0272240725796002,38.506798243222285,2.3947150006830045,80.91089058306599,38.506798243222285
2024-19025,7.5675313372856445,7.447456842908499,0.05124260184343549,31.97962340707575,0.0,31.97962340707575,0.0460890254591247,29.25627174486813,0.0357929229763275,22.720538581734186,1.473909677381937,29.25627174486813,22.720538581734186
2024-213469,7.036791951008159,6.9774633095816965,0.042584469652210584,46.14596885511214,0.0,46.14596885511214,0.0558464365053492,63.9616400796361,0.0441131960424813,50.5234092735954,2.577087919644846,63.9616400796361,50.5234092735954
2024-213789,7.16386094945123,6.4117397010570985,0.04760779309530166,34.58310781839497,0.0,34.58310781839497,0.0532912781881742,46.950746734454825,0.0434829271349195,38.30938135834391,1.842978019361712,46.950746734454825,38.30938135834391
2024-213817,6.077686279627171,6.469388673884455,0.04177124222855793,36.53418255780687,0.0,36.53418255780687,0.0286974822717878,27.99548242494301,0.023557938820646,22.98166285025084,1.048439056266925,27.99548242494301,22.98166285025084
2024-213978,6.8890857954205815,7.035915590153775,0.04065184183078025,34.11646577625113,0.0,34.11646577625113,0.0530816016024449,42.354710369401225,0.0371153777490921,29.61498951345341,1.81095664441841,51.42235598503521,29.61498951345341
2024-214096,6.835798179393477,7.275124652799534,0.04470500086086055,35.731589713192875,0.0,35.731589713192875,0.0465379367046725,35.43132467043978,0.0336633413300313,25.62934372714507,1.6628744604299002,41.80067781671659,25.62934372714507
2024-214257,7.337122507678992,7.50960514616214,0.060346057087313096,53.8573288833799,0.0,53.8573288833799,0.0318209030932515,36.79660696135277,0.0260416682843415,30.113696951613687,1.7137888432594093,36.79660696135277,30.113696951613687
2024-214467,7.720409553076006,7.131046993687066,0.06213729909985641,46.09290942654384,0.0,46.09290942654384,0.0608997345917298,63.08051219940424,0.0486265156616366,50.36779774118987,2.8070459506371623,63.08051219940424,50.36779774118987
