query_id,clarity-score-k10,clarity-score-k100,wig-norm-k100,wig-no-norm-k100,wig-norm-k1000,wig-no-norm-k1000,nqc-norm-k100,nqc-no-norm-k100,smv-norm-k100,smv-no-norm-k100,sigma-x0.5,sigma-max,RSD
2024-105741,6.122127302641768,5.895228398627381,0.3726806484480688,0.2078590711455473,0.0,0.2078590711455473,0.032420905065791,0.0178296630871674,0.0245261235775681,0.0134879800343292,0.0067389792126732,0.017848898944627,0.0134879800343292
2024-121840,5.783844480882087,5.218695793192194,0.41228971237477896,0.2135713540561882,0.0,0.2135713540561882,0.0286688299536998,0.0161995141598104,0.0219710786819814,0.0124149049957699,0.0061228408324182,0.0161995141598104,0.0124149049957699
2024-127266,6.511442535059247,6.642638565299423,0.45448892614420344,0.2282018738799642,0.0,0.2282018738799642,0.0247388583479573,0.0159677547517833,0.0205055669608914,0.0132353667931011,0.0056454538326548,0.0159677547517833,0.0132353667931011
2024-129925,8.932550542306293,8.079832582154895,0.4296340524969179,0.2109522265626024,0.0,0.2109522265626024,0.0596604501497012,0.0332981158165608,0.0468590719549434,0.026153319344676,0.0125855047968066,0.0332981158165608,0.026153319344676
2024-141577,6.790776004851294,6.394955482091876,0.44489912820423844,0.1984179486490797,0.0,0.1984179486490797,0.0249534304079886,0.0121279343697556,0.0191471146888538,0.0093059329526998,0.0049512084733106,0.0121279343697556,0.0093059329526998
2024-142395,5.797596371298158,5.611018839262516,0.3998319785212119,0.2014542930663931,0.0,0.2014542930663931,0.0365549443965678,0.019483710791284,0.0267719433256253,0.0142693911777939,0.0073641504814918,0.0244867765181536,0.0142693911777939
2024-143869,6.541574186290162,6.372185909458241,0.4323250607178905,0.2205334321531864,0.0,0.2205334321531864,0.0179150952811645,0.0096776337880496,0.0133863099647629,0.0072312094119029,0.0039508774497065,0.0096776337880496,0.0072312094119029
2024-145979,7.297629052203939,7.440316271152749,0.5859357885488462,0.261919623011375,0.0,0.261919623011375,0.0479615801938162,0.0307706836668459,0.039713545149105,0.0254789965245905,0.0125620790033941,0.0307706836668459,0.0254789965245905
2024-152259,7.800133934741213,8.11251811013568,0.40052871707625004,0.207106683726641,0.0,0.207106683726641,0.0322660620000339,0.0176802783725709,0.0247355345285698,0.0135539049097158,0.0066825170977452,0.0176802783725709,0.0135539049097158
2024-152817,6.194969726947921,5.7618595706392535,0.4137041006173755,0.2375436913759236,0.0,0.2375436913759236,0.0276157545337839,0.0185543356297012,0.0227238298207084,0.015267573615265,0.0065599482720864,0.0185543356297012,0.015267573615265
2024-153051,7.8510437805894195,7.064042981724965,0.3468382667028714,0.2345998266951386,0.0,0.2345998266951386,0.0370123967523397,0.0194160060227225,0.0257957296288484,0.0135319537717476,0.0086831018636706,0.0230224136575879,0.0135319537717476
2024-158261,7.626284738161866,6.50304877452716,0.39820886904683855,0.2185488586896047,0.0,0.2185488586896047,0.0293389741982982,0.0181358728179704,0.0236570843756308,0.0146236153513957,0.0064119993261618,0.0181358728179704,0.0146236153513957
2024-158677,6.596645373130128,6.09141215079196,0.44163606469759237,0.2474449818017896,0.0,0.2474449818017896,0.0516592931768987,0.0285832832200921,0.0397987262022074,0.0220207864428409,0.012782832860051,0.0285876847871142,0.0220207864428409
2024-158743,8.058288928472034,7.184767187133616,0.44678553886223643,0.2236570332531614,0.0,0.2236570332531614,0.0398538616727664,0.0199314076206649,0.031033945310868,0.0155204586985107,0.0089135964654128,0.0199314076206649,0.0155204586985107
2024-18963,6.602286229444822,6.715395597668256,0.5118333154404368,0.2317633097556724,0.0,0.2317633097556724,0.0285240460633128,0.0161931537196279,0.023617431597362,0.0134076596100708,0.0066108273232566,0.0161931537196279,0.0134076596100708
2024-19025,6.216310875581113,6.9604364901190126,0.4429942112268602,0.2447391387395023,0.0,0.2447391387395023,0.016665448892149,0.0099907034612133,0.0126455695246833,0.0075808420185299,0.0040786876085717,0.0099907034612133,0.0075808420185299
2024-213469,6.795028095733315,6.708261061455616,0.5555606345135071,0.2217841701932318,0.0,0.2217841701932318,0.0349215373987024,0.0189714063102211,0.0300149191948052,0.0163058464726774,0.0077450441938431,0.0189714063102211,0.0163058464726774
2024-213789,6.634704490591934,6.089494261051638,0.5116164344215398,0.2370703293250745,0.0,0.2370703293250745,0.0432236505857012,0.0251000318148085,0.0353745879721214,0.0205420706373587,0.0102470450789841,0.0251000318148085,0.0205420706373587
2024-213817,7.004803324502065,6.052635928460073,0.44290310227892715,0.2271354397948373,0.0,0.2271354397948373,0.0363670480168866,0.0202333864912698,0.0285783246463205,0.015900006169692,0.0082602454453555,0.0202333864912698,0.015900006169692
2024-213978,7.8759814591691715,6.965402502265964,0.5585680937164326,0.263171995,0.0,0.263171995,0.0482909702872721,0.0254176619819742,0.0366374162654925,0.0192838838604702,0.0127088309909871,0.0254176619819742,0.0192838838604702
2024-214096,5.702634353718205,5.82853837589851,0.3169394955725959,0.1818277782377545,0.0,0.1818277782377545,0.0341468330307708,0.0175612593430995,0.0234271930795583,0.0120482919449734,0.0062088427838406,0.0227121894288583,0.0120482919449734
2024-214257,7.126521250072317,6.288393825354809,0.476592926762604,0.30148795,0.0,0.30148795,0.0611901111612295,0.0368961623485424,0.0481945022275975,0.0290601233557376,0.0184480811742712,0.0369599876039279,0.0290601233557376
2024-214467,7.211419296040844,6.851619207277879,0.6371057121870747,0.2812144649999999,0.0,0.2812144649999999,0.0521897079813396,0.0293530016169573,0.042909834750717,0.0241337324453225,0.0146765008084786,0.0293530016169573,0.0241337324453225
2024-215044,7.092239438496913,6.171543042843939,0.3373815355297284,0.1790731553832947,0.0,0.1790731553832947,0.0440950626044818,0.0223339450490301,0.0328802568584398,0.0166536978632105,0.0078962419974084,0.0224647358222249,0.0166536978632105
2024-215952,7.065785241756118,7.688406519131051,0.39430588291426905,0.1909548266666666,0.0,0.1909548266666666,0.0244808428944518,0.0140242053346918,0.020327491217245,0.0116448976858716,0.0046747351115639,0.0140242053346918,0.0116448976858716
2024-216592,6.517993329939213,5.714008026839299,0.4272827200495922,0.2742537687453009,0.0,0.2742537687453009,0.0331804464861511,0.0203479111302634,0.0238137300640037,0.0146037716287114,0.0090998624974787,0.0228155916390416,0.0146037716287114
2024-217279,6.207426526362254,6.229353885588892,0.541005203663707,0.2461708736591248,0.0,0.2461708736591248,0.0280836418971404,0.0169342403209916,0.0229085434340246,0.0138136920181691,0.006913374661349,0.0169342403209916,0.0138136920181691
2024-217812,9.589456959370914,8.012157871449295,0.29783708210753107,0.1847024890368632,0.0,0.1847024890368632,0.0604070299488899,0.0315576913805351,0.046823916712835,0.024461634914045,0.0111573287868843,0.0330316744873333,0.024461634914045
2024-219563,5.431417267944357,4.721669509859475,0.3401893694574714,0.1863048911432502,0.0,0.1863048911432502,0.0470760450999872,0.0232045551476838,0.032913148277047,0.0162234308905197,0.0087704974578078,0.0367126735322951,0.0162234308905197
2024-219624,6.286343761278952,5.941901718240638,0.440740582991566,0.2338658374413561,0.0,0.2338658374413561,0.0364672206056418,0.0208903191643665,0.0298198949486758,0.017082385566542,0.0085284370860971,0.0208903191643665,0.017082385566542
2024-224279,5.79620801199016,5.612776672383488,0.42804553427743974,0.2376925650394679,0.0,0.2376925650394679,0.0250704614382978,0.0145966619461437,0.0179912652593138,0.0104749734112366,0.005959062285992,0.0156219408936921,0.0104749734112366
