query_id,ql,IDF-avg,IDF-max,IDF-sum,IDF-std,SCQ-avg,SCQ-max,SCQ-sum,avgICTF,SCS-1,SCS-2
2024-105741,36,5.36644357661871,11.853228857757676,193.19196875827356,3.0327049477372223,115.5959482024-105741,36,5.36644357661871,11.853228857757676,193.19196875827356,3.0327049477372223,115.59594834296526,201.8791205450402,4161.454140346749,12.169899478441371,6.999974476999059,25.6026826288922,14.024985517502687,67.34599733265043,504.89947863009667,3.0814494728440103,8.206460706824254,110.93218102238438,0.6550411051775228,0.8433018595932025,11.853228857757676,531.2801715437175
5,118.56962975511279,206.88529705867415,7351.317044816992,12.18210586635409,6.227909555967216,22.11785898831294
2024-129925,50,6.107510665215614,13.833197265691881,305.3755332607807,3.6753561066015425,123.859124431817,204.80659425719054,6192.95622159085,12.875404262696843,7.231548072922119,32.42180406651222
2024-141577,152,5.088613564230846,13.131759132767717,773.4692617630886,2.5936782305898127,111.82558129654221,199.51265892895722,16997.488357074417,11.992535447679161,4.744607934235576,15.1319861033905
2024-142395,52,4.482666528410656,10.134213618582343,233.0986594773541,2.064292196432667,103.94061018714245,187.1456222660438,5404.911729731408,11.217032213889338,5.516592495748246,21.938886753749255
2024-143869,48,5.25670993932921,12.301256453585285,252.32207708780206,2.992630171147236,113.1368017759703,197.45683146790168,5430.566485246574,12.13858401220133,6.5536215114801735,19.558486480781
2024-145979,21,5.9553525955508055,12.771472160428395,125.0624045065669,4.402766189162289,115.83075453342057,203.29660867501073,2432.445845201832,12.529732685715825,8.137415262937065,34.31324109516264
2024-152259,34,5.820784553980609,12.1463762288399,197.9066748353407,3.1681052735154958,122.27036610780763,201.17991774335673,4157.1924476654585,12.648656411715615,7.561193570465276,32.072634887554514
2024-152817,165,4.607607075523377,8.806310725573486,760.2551674613572,1.9426685721194072,107.226460929023,183.44459235089576,17692.366053288795,11.334991373772011,3.968669159526195,19.35218029711037
2024-153051,127,5.6009830260924645,13.695828645749314,711.324844313743,3.1633301318005893,118.72914195379852,205.8587465743136,15078.60102813241,12.44587260400344,5.457187917231275,18.653465385294123
2024-158261,61,5.047457032402587,20.383341353779166,307.8948789765578,2.681517607052002,111.91181647013072,160.42433065800898,6826.620804677973,11.76276588514081,5.8320285475779245,21.95151419069325
2024-158677,28,4.460907900474218,10.128383906286187,124.90542121327807,2.4394046069622117,100.91339308813336,189.2775526872303,2825.5750064677345,11.32186495303485,6.514510030977246,23.416271500105157
2024-158743,140,6.672606659012356,18.629097768181122,934.1649322617299,2.976316273652916,136.09670457084326,198.3123824450192,19053.538639918057,13.628133397074242,6.498850380129276,16.446333597281793
2024-18963,141,5.805458617376815,11.327732228427868,818.569665050131,2.561803216216549,125.25412213159994,189.7440591114226,17660.831220555592,12.70989761381598,5.5703462614171855,28.309044875539783
2024-19025,145,5.525530898938574,13.0638052476001,801.2019803460933,2.4442729708973947,120.0852338345799,202.7142721842544,17412.358906014084,12.567200223830689,5.387291133815754,18.184895561303318
2024-213469,149,5.853005423458174,14.011236786939342,872.0978080952681,2.5821948795122855,125.6683577225291,199.95062374367225,18724.585300656832,12.809007943165529,5.589839422703368,19.978641095110067
2024-213789,35,5.025198940350565,11.42896983358883,175.88196291226978,1.5782805893782297,115.42099976841148,191.06459557130697,4039.7349918944024,11.917387265223665,6.788104248278699,25.051247535413093
2024-213817,142,4.839327838758303,8.717160137746976,687.184553103679,1.7275722149650088,111.95335910965284,170.68947862884346,15897.376993570702,11.651293756944732,4.5015466374400495,27.20872151039523
2024-213978,103,5.569380820783767,12.713474436030003,573.6462245407281,2.2910910677232073,122.36438298484327,194.0696918974672,12603.531447438854,12.466928064537493,5.780427537354274,19.700863428369846
2024-214096,142,6.130814907973693,13.538456016263275,870.5757169322643,3.1688531639322046,128.04025031548443,198.47220057884832,18181.715544798786,12.897079128291045,5.747332008786363,27.3636315727086
2024-214257,145,5.1560824389799205,13.643987730258782,747.6319536520884,2.980067637907464,111.83480487917096,198.20040396559313,16216.046707479789,12.029489249996352,4.849580159981418,17.27244985609716
2024-214467,85,5.012622943772005,11.379374783237504,426.0729502206204,2.424902389177944,112.1583059204896,189.4836617139695,9533.456003241616,11.823374336208607,5.413983400070905,15.056638795130693
2024-215044,48,4.662960841018271,10.893275834206925,223.822120368877,2.48592832592199,104.85657965915783,187.40060679091576,5033.115823639576,11.134729967964622,5.549767467243466,22.46122574613313
2024-215952,149,6.25479251134977,15.388783438847412,931.9640841911158,3.2761107421633793,128.68169224282323,209.99534546917914,19173.572144180664,13.139739215830874,5.9205706953687125,20.194460981034467
2024-216592,138,4.856230982342489,11.584937871575175,670.1598755632635,1.956339908221317,111.84793190052633,195.36578461516228,15435.014602272635,11.577590499838776,4.469066043060606,21.2954881201741
2024-217279,134,4.798712378607266,21.629097768181122,643.0274587333735,2.7997983073193042,106.31758150852701,188.16550606971236,14246.55592214262,11.600500027019264,4.5344108365614915,20.47684306321031
2024-217812,141,6.16612766618976,17.508082367219757,869.424000932756,4.101627138451334,120.85987677856873,208.6740685569557,17041.24262577819,13.067937937352248,5.928386584953454,42.760383478956
2024-219563,145,4.67756595943252,16.399729584233203,678.2470641177154,2.630947707268509,104.06193290660879,204.27129158593846,15088.980271458275,11.617963329119268,4.438054239104334,17.73962997664557
2024-219624,50,4.93268014740113,11.379374783237504,246.6340073700565,2.030927781238872,113.154489325481,189.4836617139695,5657.7244662740495,11.620633907847711,5.976777718072987,25.460812323230037
2024-224279,143,4.584806285262384,9.265886007555245,655.6272987925208,1.614936628720186,106.93703565489321,180.34668720245406,15291.996098649728,11.487230034332987,4.3273586975545975,17.44561382663319
2024-224701,39,7.011854505274079,13.361240978890486,273.462325705689,3.532203927460818,138.87819246005432,205.9593240493655,5416.249505942118,13.854286673536212,8.568884454673963,38.41870482242387
2024-224926,140,6.055886761354369,18.353239321989744,847.8241465896117,2.829313820923613,128.01446227045525,202.1242294910194,17922.024717863736,12.943616638227327,5.814333621282361,18.8326375489957
2024-22886,145,4.9037869900355116,16.185680558638797,711.0491135551492,2.146849812279635,111.80034405646386,220.585666023466,16211.049888187257,11.686348565057743,4.506439475042809,23.785337143280785
2024-27366,108,5.173733285217951,9.768487406986308,558.7631948035386,2.187885376792344,115.02544766717881,181.11608528727922,12422.748348055315,12.172883506736436,5.417996004572968,20.234970215968094
2024-29182,176,4.571367688249868,12.134727877073164,804.560713131977,2.3040361497371946,103.66244846000212,199.00283228317795,18244.590928960373,11.48425482517751,4.024823206540213,15.778343614443457
2024-32912,64,5.984058106921366,11.704794241486914,382.9797188429674,2.1339321686725845,130.4758421990275,191.2899695232527,8350.453900737759,12.797459370517007,6.797459370517007,25.98338211146429
2024-35227,45,5.820874410175673,8.574813244787947,261.9393484579053,2.1731241096390757,128.3086572856427,174.2014813446849,5773.889577853921,12.559634390758562,7.067781294428888,36.455944329833905
2024-35269,150,4.974061119040643,11.722164235859132,746.1091678560965,1.866892913197329,113.69858009309226,195.45341515463826,17054.78701396384,11.810168357100116,4.581349666604235,24.353132384570287
2024-35284,59,5.8233696979106755,12.01928582932342,343.5788121767298,2.547467132837938,125.46095230708232,192.57283531765603,7402.196186117858,12.69288187426231,6.810238824900469,30.94673943684007
