query_id,clarity-score-k10,clarity-score-k100,wig-norm-k100,wig-no-norm-k100,wig-norm-k1000,wig-no-norm-k1000,nqc-norm-k100,nqc-no-norm-k100,smv-norm-k100,smv-no-norm-k100,sigma-x0.5,sigma-max,RSD
2024-105741,6.40339255146478,6.4403402099621605,0.05421256793884495,0.0303535676425796,0.0,0.0303535676425796,0.0189839151844832,0.0120733499432883,0.0149243379356352,0.0094915486514654,0.0005762295536732,0.0120733499432883,0.0094915486514654
2024-121840,5.758154281806322,5.332469093827329,0.048737649739389245,0.0255426103394241,0.0,0.0255426103394241,0.0238173568352674,0.0130478140076566,0.0178922739327879,0.0098018879283603,0.0006083574649582,0.0130478140076566,0.0098018879283603
2024-127266,6.486787793430591,6.570179933562689,0.04630601316227056,0.023723312505487,0.0,0.023723312505487,0.0189920762922396,0.0119884877781102,0.0160758143944235,0.0101476374370644,0.0004505549610088,0.0119884877781102,0.0101476374370644
2024-129925,8.593315245794285,7.813140054005667,0.05732634120025285,0.0277283162613714,0.0,0.0277283162613714,0.0543702780481844,0.0320519362460663,0.0457168619721018,0.0269506428494152,0.0015075962649387,0.0320519362460663,0.0269506428494152
2024-141577,7.084300140118119,6.9774541614269685,0.0487110511799792,0.023357446387446,0.0,0.023357446387446,0.024572971940006,0.0132260544391553,0.0195723065748654,0.0105345170657832,0.0005739618746689,0.0132260544391553,0.0105345170657832
2024-142395,6.58888116897728,5.9273781600439674,0.04245247983306402,0.0207335733465893,0.0,0.0207335733465893,0.0314683248539246,0.016219670218238,0.0239354899642416,0.0123370327316145,0.0006524508214531,0.016219670218238,0.0123370327316145
2024-143869,6.8650939080971,7.0126137068587315,0.05061957491675292,0.0256784382446885,0.0,0.0256784382446885,0.0136268861235039,0.008477821802863,0.0111336385654229,0.0069266744375543,0.0003499171537897,0.008477821802863,0.0069266744375543
2024-145979,7.511504799166036,7.256357259810019,0.05155186490679204,0.0262555359561608,0.0,0.0262555359561608,0.0348261063172326,0.0226389378259913,0.0293789449060768,0.0190979749807055,0.0009143780866251,0.0226389378259913,0.0190979749807055
2024-152259,9.467539347706492,8.376511686798667,0.05284839091621855,0.0227363827662365,0.0,0.0227363827662365,0.0328933619805346,0.0182885901872068,0.0267775241850082,0.014888206512227,0.0007478760684578,0.0182885901872068,0.014888206512227
2024-152817,6.237837328947786,6.284403142809886,0.04266426592416083,0.0240980680680135,0.0,0.0240980680680135,0.0196806901498789,0.0125568746724652,0.0154401098968115,0.0098512564054846,0.0004742666108572,0.0125568746724652,0.0098512564054846
2024-153051,7.98975763839598,7.19847580058297,0.038616272688186105,0.027177486617265,0.0,0.027177486617265,0.0399688547195046,0.0216978869656263,0.0282738004670196,0.0153489943839369,0.0010862530142467,0.0248248669016289,0.0153489943839369
2024-158261,7.4502486770888785,6.297249677408847,0.05294217725348224,0.0241141400539275,0.0,0.0241141400539275,0.0216250920796088,0.0124826575236365,0.0175038097352646,0.0101037286444773,0.0005214704990867,0.0124826575236365,0.0101037286444773
