query_id,ql,IDF-avg,IDF-max,IDF-sum,IDF-std,SCQ-avg,SCQ-max,SCQ-sum,avgICTF,SCS-1,SCS-2
2024-105741,147,5.583768371660833,13.828567600461941,820.8139506341424,2.6519962099236936,120.85423879145674,207.16374680844623,17765.57310234414,12.531497155857933,5.331824811021568,17.496138465439266
2024-121840,152,4.479908822125531,12.445143437680752,680.9461409630808,1.8790057696831246,104.3742370430595,193.41644767177252,15864.884030545043,11.286695601822954,4.038768088379369,30.471764958441117
2024-127266,48,5.134263316198973,12.699797083385823,246.4446391775507,2.186880794593505,115.41593521147104,193.73014395023338,5539.964890150609,11.980287065358842,6.395324564637686,35.05386157476232
2024-129925,154,6.074332933895206,18.223105408505287,935.4472718198617,3.206916882793102,125.94516360135755,202.7709791081966,19395.555194609064,12.958569206918762,5.691782666223861,26.63954150824732
2024-141577,147,5.151523278812463,11.868069001805985,757.273921985432,2.530950306992754,113.23023707968788,200.23607897399984,16644.84485071412,12.103827355774566,4.904155010938202,20.748249885185622
2024-142395,180,4.551288656449102,19.143670941010882,819.2319581608384,2.3532214322974827,103.69083535118095,193.04618429397485,18664.350363212576,11.382464255983132,3.8906111596534574,21.12920226999698
2024-143869,23,5.732669458251469,12.685996920610325,131.8513975397838,3.782947429923324,115.69462299663068,197.45683146790168,2660.976328922506,12.568573139266901,8.045011183209887,23.792408017449706
2024-145979,34,5.670390183995088,12.771472160428395,192.79326625583298,3.9115433701732645,114.94389153445316,203.29660867501073,3908.0923121714072,12.343692937897075,7.2562300966467355,31.941750300981766
2024-152259,34,5.923642774520046,12.1463762288399,201.4038543336816,3.034066814113352,125.27664593493375,201.17991774335673,4259.405961787747,12.678442345757695,7.590979504507356,33.76738919586115
2024-152817,85,4.898801993677378,10.407389823245472,416.3981694625772,1.9492550748466264,112.18748455776361,191.19740233475827,9535.936187409907,11.714054179472734,5.304663243335033,22.366257262187677
2024-153051,154,5.554521391690114,13.695828645749314,855.3962943202775,2.9872339250548525,118.91120445662001,205.84356485068727,18312.325486319478,12.410251310370535,5.143464769675634,23.554672023301244
2024-158261,171,5.082854279341366,16.357501348843904,869.1680817673737,2.4157637445951368,113.74337962517949,211.80909084142195,19450.117915905692,11.864892114662716,4.447039599776818,27.573704571259345
2024-158677,36,4.106491377734079,6.773289335413199,147.83368959842684,2.0380605844680937,95.83768311179635,145.8263600480798,3450.1565920246685,10.927487782496058,5.757562781053746,21.422868707181593
2024-158743,129,6.5672723719780235,18.629097768181122,847.178135985165,2.843567955371268,135.71030527132515,195.9658735353919,17506.629380000944,13.461826577617092,6.450599322193838,16.119801145365013
2024-18963,146,5.653730935609548,11.605739433286852,825.4447165989942,2.400345365328943,123.60119899303625,191.14946667725195,18045.775052983292,12.532927001562335,5.3431024426823175,28.975818390606705
2024-19025,34,5.42356199123693,7.8242810650106716,184.4011077020556,1.9605388738575011,121.11702902905229,161.11804411620133,4117.978986987778,12.371698266153764,7.284235424903425,29.638141396390843
2024-213469,27,6.308542103078095,9.773762064815017,170.33063678310853,2.0578227665767352,136.54402332060803,190.7770531824057,3686.688629656417,13.155048818014805,8.400161315851337,23.4447619224579
2024-213789,151,5.085902550153923,11.70487908843262,767.9712850732421,2.046711407407778,114.98190617058007,198.25875956853542,17362.267831757592,11.953847364997515,4.715442625672436,30.17063396989667
2024-213817,134,5.039932408030424,11.469154370513087,675.3509426760768,1.9353658725494547,115.00862203865589,191.7047242401903,15411.155353179887,11.828527303629448,4.762438113171676,25.591389821432514
2024-213978,47,5.751627530597572,11.889317158407863,270.32649393808595,2.3380612072286353,125.39128902560628,191.68172202030314,5893.3905842034965,12.621299407375384,7.066710555697746,21.51038734768007
2024-214096,154,5.904422465910573,16.716721633488874,909.2810597502282,3.3644293087406534,122.19380160377467,202.1621710712987,18817.845446981304,12.776381299474394,5.509594758779493,29.268811780577174
2024-214257,33,6.23175078069346,13.643987730258782,205.64777576288415,3.797543189715515,125.05929086811992,198.20040396559313,4126.956598647957,13.065214071318058,8.020819951959606,26.980255346265462
2024-214467,148,5.538866158143839,13.330282373293583,819.7521914052883,2.686476043787319,120.10932464214666,203.05071448808684,17776.180047037706,12.398776727336077,5.189323361707127,20.162945464686604
2024-215044,155,4.992456295898767,10.082189531668652,773.8307258643089,2.1139644141887515,112.85105428731978,183.76299588464028,17491.913414534563,11.748383315397355,4.472258910123117,17.590505459835747
2024-215952,57,5.885941595766,15.388783438847412,335.49867095866193,3.757738930504123,120.23827933250672,209.99534546917914,6853.581921952882,12.655205529730074,6.8223155155653314,26.890861015945276
2024-216592,40,4.938533858296208,7.361583706474781,197.54135433184834,1.5761836049936326,115.59645504694849,153.56241506879576,4623.858201877939,11.47760452763455,6.155676432747188,18.980393061505424
2024-217279,140,4.734476603904374,10.462952622921676,662.8267245466126,2.1647414916385714,108.06230768356333,188.16550606971236,15128.723075698867,11.565044641835993,4.435761624891026,16.485936819542026
2024-217812,39,5.521425188898189,17.203791933448453,215.33558236702942,4.511367030744793,106.34996322287397,191.24326856977558,4147.648565692086,12.404482417872092,7.119080199009844,24.249822178902427
2024-219563,152,4.684381688340525,16.399729584233203,712.0260166277598,2.6797218113469166,103.87836150488351,198.82533701241493,15789.510948742294,11.61325517902468,4.365327665581095,21.39622494451071
2024-219624,169,5.101985554476111,18.22699932460978,862.2355587064629,2.5005139544949517,113.31179621804074,189.0198379752616,19149.693560848882,11.95683958180907,4.555960145526886,20.447902324033784
2024-224279,38,4.527406258847411,9.725409556902779,172.04143783620162,1.607193588370251,105.8420630221386,175.98494674578816,4021.9983948412673,11.393333288738607,6.145405775295021,26.00029196156556
2024-224701,58,7.650275103239215,13.361240978890486,443.7159559878745,3.0810512200600093,150.53708421049365,205.9593240493655,8731.15088420863,14.500130284089092,8.64214928896152,44.62167184441457
2024-224926,138,6.04990366102159,17.288738967886573,834.8867052209794,2.841942405812067,127.7010738354588,204.23806815247977,17622.748189293314,12.960740827336561,5.852216370558392,23.522804930691237
2024-22886,164,4.932051960908713,16.185680558638797,808.856521589029,2.2753295468434014,111.78419940944075,220.585666023466,18332.608703148282,11.718755308310792,4.361203303692708,23.03822558716031
2024-27366,153,5.017116903941972,12.954552374335258,767.6188863031216,2.3903214962894417,111.2864086272105,196.40159591680043,17026.820519963207,12.021370563446611,4.763982720753959,24.69986371720351
2024-29182,155,4.304392459359805,10.211486325238452,667.18083120077,2.23932345813141,98.77377029625913,186.59480249988675,15309.934395920165,11.20608568524547,3.9299612799712333,20.775821709729858
2024-32912,42,5.842904097764419,9.942872399785546,245.4019721061056,2.3161769267766417,127.14038302059589,182.36263007377,5339.896086865028,12.671058681685192,7.2787412589064315,24.871838693042136
2024-35227,47,6.327370807688168,20.400828780508004,297.3864279613439,3.301435834549435,130.5418664177662,204.68599823791635,6135.467721635011,13.043255800360068,7.488666948682431,31.617877658302895
2024-35269,148,4.772526332442489,12.90604635313966,706.3338972014883,1.92665350515024,109.64412420269072,194.91209172137025,16227.330381998227,11.616032922147799,4.406579556518849,29.496671347135674
2024-35284,53,5.370282829687802,10.734063530262391,284.6249899734534,2.377604559820573,118.79478509245057,192.57283531765603,6296.12360989988,12.196966335172243,6.469045880609044,23.57954717643926
2024-35620,169,5.3569723576242225,13.803639204166087,905.3283284384936,2.7490389216544204,116.29920270119925,205.9294616067491,19654.565256502672,12.232822445640778,4.831943009358594,22.749862167197865
2024-38986,37,3.647105219050826,8.901310992700607,134.94289310488057,2.0577695437789574,86.62476481472163,171.16976062929717,3205.1162981447,10.430462007774878,5.221008642145928,21.141399557249965
2024-41849,59,4.725594361328919,10.127502237168585,278.81006731840625,2.2846110402184214,107.55034465086578,179.84697256657876,6345.470334401081,11.453202424718212,5.57055937535637,17.98112112436361
2024-42497,172,5.2217567499535535,12.458171242893737,898.1421609920111,2.1141182380156227,117.38874729750434,199.88114133603602,20190.86453517075,12.059920394793531,4.633655640091433,29.22174310885045
2024-43037,27,5.284633502919668,9.060503713511805,142.68510457883104,2.1108040290989027,119.1431166437111,178.88614327136693,3216.8641493801997,11.980602829925951,7.225715327762483,23.756932136070553
2024-43983,60,5.31914804891735,10.728123171710587,319.148882935041,3.0073865589421387,113.63449017504314,188.15217633337906,6818.069410502589,12.276539685337804,6.369649089729285,37.59222856770005
2024-44060,140,6.017131967638802,17.272551476424184,842.3984754694322,2.960230610860315,125.95517592284075,205.51800502194558,17633.724629197706,12.93827742182332,5.808994404878354,26.731909165911876
2024-58819,162,5.29546178998228,11.42896983358883,857.8648099771294,2.8122134818310407,114.38989744868053,191.06459557130697,18531.163386686243,12.251271275807008,4.911421272922383,27.05033120490821
2024-73340,146,5.385242530441745,14.337104879835534,786.2454094444948,2.319523864289848,118.97409475392382,200.09923290321817,17370.21783407288,12.29696345746178,5.107138898581763,15.701650488980293
2024-73918,149,5.244899013086032,14.797654790287032,781.4899529498188,2.3911517071998274,115.87719618837394,196.24355468172251,17265.702232067717,12.159332917592614,4.940164397130453,14.854201834864606
2024-79081,36,5.127565113348521,8.71427487493739,184.5923440805468,2.312051261029996,115.50423046645857,176.6366299382772,4158.152296792508,11.8181236680425,6.648198666600187,28.85555238461776
2024-79154,48,5.2617864755551365,9.768487406986308,252.5657508266465,2.6181311317743603,117.26350363166266,188.6761985659746,5628.648174319807,11.873594173781285,6.288631673060129,23.387574654032147
2024-88894,65,4.175252186789422,9.23992740294973,271.39139214131245,1.9057633246792516,98.41996245322996,178.9764674951796,6397.2975594599475,10.89630873260155,4.873940919573096,18.69623122952616
2024-94706,129,5.341807289558685,12.318874518080317,689.0931403530702,2.759271593665299,116.3997187940923,206.88579974336346,15015.563724437907,12.209523346256894,5.19829609083364,20.845703189488898
2024-96063,117,4.916037595611141,12.382866146599552,575.1763986865035,2.863032484015267,107.87236864301926,198.9681715929677,12621.06713123325,11.686726909696684,4.81636219011328,17.311019910594986
2024-96359,71,6.229324761515983,15.036000149962288,442.28205806763486,3.3694011487293256,127.70558047979215,207.27191936266462,9067.096214065241,13.073967417049628,6.924220297544946,21.26129386109985
