query_id,clarity-score-k10,clarity-score-k100,wig-norm-k100,wig-no-norm-k100,wig-norm-k1000,wig-no-norm-k1000,nqc-norm-k100,nqc-no-norm-k100,smv-norm-k100,smv-no-norm-k100,sigma-x0.5,sigma-max,RSD
2024-105741,6.275654745839892,6.244787683322999,0.10915864562166003,0.06199625278872,0.0,0.06199625278872,0.0217745413889438,0.0138327684332349,0.0172575878775861,0.0109632718578432,0.0013499399723074,0.0138327684332349,0.0109632718578432
2024-121840,5.441368167131997,5.1580805416782205,0.11910136093849036,0.0646120198978779,0.0,0.0646120198978779,0.026234101877494,0.0144824136905558,0.0200364652971219,0.0110610372973478,0.0016950383125116,0.0149537474982025,0.0110610372973478
2024-127266,6.436152077139589,6.5472931750280186,0.11919124034349088,0.0591578427535682,0.0,0.0591578427535682,0.0239076341803088,0.0159386227343864,0.019243987272515,0.0128294857922235,0.0014143240634485,0.0159386227343864,0.0128294857922235
2024-129925,8.767898139156218,7.650296249537537,0.10608917165195281,0.0581988818308454,0.0,0.0581988818308454,0.0706322484464887,0.0436975304677506,0.0565896148728002,0.0350098782702052,0.0041107178807841,0.0436975304677506,0.0350098782702052
2024-141577,6.480748574978019,6.48937438044851,0.11291605091311802,0.0539925868324366,0.0,0.0539925868324366,0.0271791928132304,0.0143031763294171,0.0213372311987036,0.0112288169230705,0.0014674749280038,0.0143031763294171,0.0112288169230705
2024-142395,5.902237335865407,5.563587632261226,0.09558177140401271,0.0492558536363636,0.0,0.0492558536363636,0.0354461793283139,0.019205250030601,0.0276299248589336,0.0149702908831889,0.0017459318209637,0.019205250030601,0.0149702908831889
2024-143869,6.513237320664048,6.627423839875019,0.09435948498843306,0.0527777258022359,0.0,0.0527777258022359,0.0177768129539635,0.0114907983895767,0.0140381196276157,0.0090741351010124,0.0009382197597219,0.0114907983895767,0.0090741351010124
2024-145979,7.3675288502447795,7.337423080614622,0.10669146478146009,0.0526097632547546,0.0,0.0526097632547546,0.0394618002682465,0.0249992651421276,0.0331606021174341,0.02100742183507,0.0020760759697188,0.0249992651421276,0.02100742183507
2024-152259,7.500660741068201,8.236197672752528,0.10181629991190275,0.0561414408187728,0.0,0.0561414408187728,0.0331886825826398,0.0190927381882117,0.0249980631398563,0.0143808502658468,0.0018632604590663,0.0197544287753965,0.0143808502658468
2024-152817,5.530004584275537,5.845212044368319,0.11223130581030018,0.0556349925424882,0.0,0.0556349925424882,0.0218384618816355,0.0139590880547405,0.0175072359316158,0.0111905796886754,0.0012149826639242,0.0139590880547405,0.0111905796886754
2024-153051,7.493500713282449,6.831130042236619,0.08716038327765209,0.0574836712527724,0.0,0.0574836712527724,0.0522628452694513,0.0283421341954536,0.0379560513743932,0.0205835617260467,0.0030042602162036,0.0319521851018983,0.0205835617260467
2024-158261,8.873509046431575,6.431806512332582,0.08547538640569015,0.051166309448036,0.0,0.051166309448036,0.029474623036021,0.0177162538979999,0.0223401689356527,0.0134279615554217,0.0015081076831252,0.0177162538979999,0.0134279615554217
2024-158677,6.225045318531478,5.622057038723535,0.09483088936246806,0.0427041423584259,0.0,0.0427041423584259,0.0393545921043029,0.0208557484547809,0.030145811896425,0.0159756063081706,0.0016806041036799,0.0208557484547809,0.0159756063081706
2024-158743,7.908104204349033,7.483387892902093,0.10043414506369652,0.04792413326067,0.0,0.04792413326067,0.0293529727123155,0.0163445603182802,0.0240656672386271,0.0134004400043736,0.0014067157758618,0.0163445603182802,0.0134004400043736
2024-18963,7.107892320933275,6.4751705438448806,0.12382263552211598,0.0592723547818822,0.0,0.0592723547818822,0.0410445496931883,0.0224293733184389,0.0340277188577748,0.0185949271009441,0.0024328071112772,0.0224293733184389,0.0185949271009441
